PubChem CID,P0DMS8,P14416,P18901,P20288,P21728,P21917,P21918,P23977,P25021,P25099,P29274,P29275,P30542,P30543,P31390,P35367,P35462,P61169,Q01959
681,,1000,800,4700,,,,200,,,,,,,,,,1200,460
1220,,1000,100000,800,,,,1000,,,,,,,,,,5.2,
1329,,,,,,,,,,4.7,132,3.8,5,1100,,,,,
1922,1250,,,,,,,,,3,454,210,1340,,,,,,
2818,,9,130,140,,4.1,,,,,,,,,9,,450,38,
3559,,0.16,36,1.2,,1.3,,,,,,,,,1000,,0.06,0.075,
3696,,410,,,,,,20000,,,,,,,0.06,27,,,25600
68551,,7079,,,,3311,,,,,,,,,0.006,3.4,3890,3548,
448222,0.489779,,,,,,,,,2.4,3.7,,0.20893,7.05,,,,,
6439091,,,,,,,,,,17,11300,980,,11000,,,,,
9954899,,140,64,,,120,,,,,,,,,47,,53,31,
10026300,,52,66,,,150,,,,,,,,,120,,29,40,
10885636,3480,2240,,,1120,776,988,,1030,,,,,,,795,195,,996
10907460,2460,2890,,,967,,1450,,757,,,,,,,1820,341,,994
11005810,5980,551,,,376,543,513,,368,,,,,,,454,538,,781
11071079,4210,2620,,,,338,1550,,1250,,,,,,,1280,456,,1650
11113605,5080,,,,,716,3020,,1340,,,,,,,1660,977,,1280
11154555,,1.7,1000,,1000,,1000,,,,,,,,,,,16,
11430418,1000,100,,,1000,,,,1000,,1000,,1000,,,1000,,,1000
11730467,,,,,2750,280,1860,,1980,,,,,,,1930,758,,954
11957735,,10000,,,10000,,10000,,10000,,,,,,,10000,,,10000
16038374,12000,10000,,,2000,,10000,,10000,,10000,,10000,,,10000,10000,,
44469321,8300,10000,,,10000,,,,10000,,30000,,,,,10000,10000,,10000
44469677,1,10000,,,10000,,,,10000,,10000,,10000,,,10000,,,10000
72548703,0.17,1.8,,,0.21,,,,142,,9.2,,0.61,,,1.7,,,4.9
118016229,6700,,,,,,,,,,820,59,1300,750,,,,,
135156251,,10000,,,10000,,,,10000,,10000,,,,,10000,,,10000
