PubChem CID,P0DMS8,P14416,P18901,P19020,P20288,P21728,P21917,P21918,P23977,P25021,P25099,P29274,P29275,P30542,P30543,P31390,P35367,P35462,P46093,P47745,P47747,P61168,P61169,Q4KLH9,Q8BUD0,Q9H3N8,Q9QYN8,Q9Y5N1,Q01959,Q60613,Q95136
681,,1000,800,111,4700,,,,200,,,,,,,,,,,,,,1200,,,,,,460,,200
1220,,1000,100000,,800,,,,1000,,,,,,,,,,,,,,5.2,,,,,,,,1000000
1329,,,,,,,,,,,4.7,132,3.8,5,1100,,,,,1.3,,,,,,,,,,,
1922,1250,,,,,,,,,,3,454,210,1340,,,,,,,,,,,,,,,,,
2690,406,,,,,,,,,,6,12,61,,3.3,,,,,,,,,,,,,,,,
2726,,1,2.15,,80,,,,,,,,,,,,12,,,,,,40,,,,,,,,
2801,,,,,,,,,1000,,,,,,,0.2,,,,,720,,,,,,,,2777,,
2818,,9,130,,140,,4.1,,,,,,,,,9,,450,,,,290,38,,,,,,,,
3559,,0.16,36,,1.2,,1.3,,,,,,,,,1000,,0.06,,,,,0.075,,,,,,,,
3696,,410,,,,,,,20000,,,,,,,0.06,27,,,,1900,,,,,,,,25600,,
3964,,54,,,,,14,,,,,,,,,1000,,22,,,,,,,,,,,,,
4585,,10,,,,,173,,,,,,,,,13,,,,,,,158,,,,,,,,
4946,5012,5012,,,,5012,,,,,,5012,,,,,,,,,,,,,,,,,,,
4992,,,,,,,,,,,,,,,,5.75,0.82,,,,,,,,,,1.3,,,,
5073,,3.6,,,,,,,,,,,,,,80,454,,,,,23,4,,,,,,,,
5452,,,17,,,,,,,,10000,,,,,99,,,,,,,2.8,,,,,,,,
6005,,4.2,238,27,,,,,,,,,,,,,,,,,,,1,,,,,,,,
16104,,34,11,,,,110,,,,,,,,,,,120,,,,,13,,,,,,,,
54562,,462,30000,25,,,,,,,,,,,,,,,,,,,100,,,,,,,,
56971,,,,,1000000,,1800,,,,,,,,,,,1200,,,,,2900,,,,,,,,12000
60795,,7.6,,37.9,,,,,,,,,,,,3000,420,,,,,,,,,,,,,,
68551,,7079,,,,,3311,,,,,,,,,0.006,3.4,3890,,,880,,3548,,,,,,,,
121852,,10,,,10,39811,,,,,,,,,,,,,,,,,,,,,,,,,20000
442108,,,10000,10000,,,,,4110,,,,,,,,,,,,,,10000,,,,,,,,
446220,,,,,,,,,66,,,,,,,,,,,,,,,,,,,,267,,
448222,0.489779,,,,,,,,,,2.4,3.7,,0.20893,7.05,,,,,,,,,,,,,,,,
3036864,,26,0.57,,,0.82,,,,,,,,,,,,,,,,,600,,,,,,,,
3201696,,,,,,,,,,20000,,,,,,,20000,,,,,,,,,20000,20000,900,,,
6439091,,,,,,,,,,,17,11300,980,,11000,,,,,1180,,,,,,,,,,,
9804849,,,,,,900,,,,860,,,,,,,10000,2300,,,,,,,,,,,10000,,
9839081,,871,,,,,132,,,,,,,,,,6.8,170,,,,,195,,,,,,,,
9839670,1.9,,,,,,,,,,,10000,9400,610,,,,,,,,,,,,,,,,,
9841596,,10000,1000,,,10000,,,,,,,,,,,,,,,,,1000,,,,,,,,
9858553,4.9,,,,,,,,,,,10000,2700,1200,,,,,,,,,,,,,,,,,
9861399,,,3000,600,,,,,140,,,,,,,,,,,,,,5000,,,,,,,,
