PubChem CID,P0DMS8,P14416,P21917,P29275,P30542,P35462,Q60613
1922,1250,,,312.5,1340,,
2818,,230,55,,,450,
3559,,4.05,5.5,,,1.875,
3964,,54,14,,,22,
5615,,620,6.5,,,5500,
16104,,34,110,,,120,
68551,,7079,3311,,,3890,
443391,,1000,1000,,,1000,
4797946,,58005,198,,,100000,
5311200,,360,24,,,80,
6466372,,62504,330,,,100000,
6918388,,6,6,,,6,
9839081,,871,132,,,170,
9839670,1.9,,,9400,610,,
9858553,4.9,,,2700,1200,,
9863684,0.61,,,10000,10000,,
9901136,4,,,10000,3000,,
9902350,26,,,10000,10000,,
9928653,5.4,,,10000,10000,,
9929288,0.9,,,10000,10000,,
9930740,8.7,,,10000,10000,,
9949655,,300,4.5,,,200,
9954899,,140,120,,,53,
10026300,,52,150,,,29,
10049758,,23,570,,,8,
10108561,,1905,251,,,1660,
10131882,45,,,10000,6200,,
10153029,1467,,,18,59,,
10156654,8.2,,,10000,10000,,
10196060,8888,,,7,152,,
10196517,4314,,,12,205,,
10218183,5249,,,4,102,,
10237847,1315,,,12,68,,
10238677,844,,,17,123,,
10246054,,447,1000,,,1000,
10288169,2085,,,14,150,,
10288197,1525,,,18,54,,
10310578,6438,,,17,396,,
10311222,3169,,,16,415,,
10381889,,8.7,2.6,,,0.549541,
10412646,,30,490,,,52,
10425450,,27923,129.5,,,100000,
10450082,,9800,20,,,5600,
10596380,,1000,1000,,,350,
10885636,3480,2240,776,,,195,
10907460,2460,2890,,,,341,
10948527,,557,947,,,160,
10981761,,123,1880,,,29,
11005810,5980,551,543,,,538,
11046842,5,,,10000,10000,,
11071079,4210,2620,338,,,456,
11113605,5080,,716,,,977,
11430418,1000,550,,,1000,,
11743399,,1000,1000,,,1000,
12128799,6.2,,,100,27,,
12128800,4.1,,,1500,38,,
12128801,2.1,,,2600,27,,
15840855,,120,8,,,150,
16037920,12260,,,1,183,,
16038374,12000,10000,,,10000,10000,
16094666,,12069.5,68.5,,,50000,
17863158,28,,,10000,10000,,
17863209,48,,,10000,10000,,
17863210,260,,,10000,2600,,
17888044,,81,6.5,,,200,
18180076,,10000,10000,,,2102,
19426635,,1698,302,,,339,
19964406,,100000,360,,,31800,
21186098,,250,8,,,320,
21186102,,50,57,,,72,
21186115,,25,5,,,8,
21186124,,23,6,,,33,
21186138,,60,7,,,300,
21186143,,490,17,,,1100,
21186148,,450,25,,,480,
21186186,,49,4.5,,,59,
21186192,,70,8,,,200,
21186194,,360,16,,,710,
24894071,,10000,10000,,,10000,
25207803,22.9,,,2.45,57.6,,
25230881,130.3,,,22.75,19.4,,
25230948,37.3,,,12.85,118.3,,
25230949,233.1,,,19.55,1103.5,,
25230950,746.7,,,52.3,161.3,,
25230951,360.8,,,36.7,216,,
25230952,308.3,,,68.9,256.2,,
44250364,,10000,10000,,,10000,
44251387,,10000,10000,,,10000,
44251388,,10000,10000,,,10000,
44251389,,10000,10000,,,10000,
44304314,,2300,4800,,,4000,
44318454,,36,14,,,14,
44318842,,55,1000,,,1000,
44342270,,480,1690,,,154,
44345317,,1000,1000,,,1000,
44413096,18950,,,75,140,,
44413106,950,,,6,370,,
44413113,21880,,,15,350,,
44413182,38050,,,20,101,,
44413192,7600,,,15,12,,
44413202,14860,,,13,102,,
44469321,8300,10000,,,,10000,
44469677,1,10000,,,10000,,
44631910,10000,,,50000,0.6,,
45109862,,1071,1845,,,334,
45278805,,2542,984,,,915,
45278882,,3736,645,,,1072,
45361874,,64456.5,840.5,,,88205,
46830335,,10000,10000,,,10000,
46830336,,10000,10000,,,10000,
46842383,,10000,10000,,,10000,
46866711,,10000,10000,,,1195,
46884818,,10000,10000,,,10000,
46884856,,10000,10000,,,10000,
46884898,,10000,10000,,,10000,
46885027,,10000,10000,,,10000,
46885213,,10000,3800,,,10000,
46934428,,10000,1000,,,248,
49864289,,10000,10000,,,1426,
49864292,,10000,10000,,,943,
49864602,,10000,10000,,,2893,
49864722,,10000,10000,,,2416,
49864723,,10000,10000,,,2508,
49864724,,10000,10000,,,1171,
51003550,,136,10000,,,1520,
51003551,,10000,5522,,,482,
51003586,,1000,10000,,,623,
52946211,13000,,,50000,3.2,,
53320009,,10000,3613,,,1300,
53320010,,10000,1789,,,2922,
53322638,,1784,10000,,,180,
54576142,,1369,10000,,,493,
54577891,,908,3942,,,2189,
60149678,,100000,180,,,46200,
72548703,0.17,1.8,,,0.61,,
72737728,,16500,170,,,8170,
92640710,,100000,100000,,,76400,
109030343,,53533.5,1357.5,,,50000,
109030515,,55923.5,1275,,,50000,
118016229,6700,,,62.5,1300,,470
118714552,,16500,100,,,8170,
137538548,500,,,10,500,,
137538569,500,,,30,500,,
137538576,500,,,30,500,,
137538578,500,,,30,500,,
137538587,500,,,10,500,,
137538613,75,,,10,500,,
137538620,500,,,10,500,,
137538663,500,,,10,500,,
137538676,500,,,30,75,,
137538682,500,,,30,500,,
137538697,500,,,10,500,,
137538707,500,,,30,500,,
137538724,500,,,500,500,,
137538726,500,,,30,300,,
137538728,500,,,30,500,,
137538729,75,,,10,75,,
137538730,500,,,30,500,,
137538737,500,,,30,500,,
137538752,300,,,30,500,,
137538767,500,,,30,500,,
137538770,500,,,30,500,,
137538787,500,,,30,500,,
137538795,500,,,30,500,,
137538808,500,,,30,500,,
137538813,300,,,30,500,,
137538814,30,,,30,500,,
137538815,500,,,30,500,,
137538816,75,,,30,500,,
137538901,30,,,30,500,,
137538937,75,,,300,300,,
137538958,75,,,10,75,,
137538980,500,,,30,500,,
137538982,500,,,30,500,,
137538998,500,,,30,500,,
137539000,500,,,30,500,,
137539009,500,,,30,500,,
137539011,500,,,20,500,,
137539021,500,,,10,500,,
137539027,75,,,10,75,,
137539043,500,,,10,500,,
137539051,75,,,10,500,,
137539065,30,,,10,500,,
137539075,500,,,10,500,,
137539077,75,,,10,75,,
137539080,75,,,10,75,,
137539137,500,,,30,500,,
137539146,500,,,10,500,,
137539151,500,,,30,500,,
137539156,500,,,30,500,,
137539158,300,,,30,300,,
137539163,500,,,10,500,,
137539164,300,,,10,500,,
137539173,500,,,30,500,,
137539188,500,,,10,500,,
137539191,10,,,30,500,,
137539194,500,,,10,500,,
137539199,300,,,30,500,,
137539207,500,,,30,500,,
137539224,500,,,10,500,,
137539228,500,,,10,300,,
137539229,300,,,10,500,,
137539240,75,,,10,500,,
137539250,300,,,30,500,,
137539253,500,,,30,500,,
137539262,500,,,10,500,,
137539269,75,,,10,500,,
137539278,500,,,30,500,,
137539284,300,,,10,500,,
137539292,500,,,30,500,,
137539293,500,,,10,500,,
137539297,75,,,10,500,,
137539301,500,,,30,500,,
137539305,500,,,30,500,,
137539306,30,,,30,300,,
137539311,500,,,30,500,,
137539329,500,,,10,500,,
137539338,500,,,30,500,,
137539341,75,,,10,500,,
137539342,75,,,10,500,,
137539347,500,,,10,500,,
137539351,75,,,75,500,,
137539362,500,,,10,500,,
137539382,300,,,10,500,,
137539384,300,,,10,500,,
137539391,75,,,10,500,,
137539397,500,,,30,500,,
137539398,30,,,30,500,,
137539409,500,,,10,500,,
137539417,500,,,30,500,,
137539422,500,,,10,500,,
137539440,500,,,10,500,,
137539459,500,,,10,75,,
137539465,500,,,30,500,,
137539475,500,,,10,500,,
137539478,500,,,30,500,,
137539482,500,,,30,500,,
137539485,75,,,10,500,,
137539488,75,,,30,500,,
137539492,500,,,30,75,,
137539494,300,,,10,500,,
137539501,500,,,10,500,,
137539504,300,,,10,500,,
137539510,30,,,30,500,,
137539512,300,,,10,500,,
137539513,500,,,10,500,,
137539525,300,,,30,500,,
137539530,500,,,10,500,,
137539546,500,,,10,500,,
137539549,75,,,30,75,,
137539559,75,,,10,500,,
137539564,75,,,30,500,,
137539573,500,,,10,500,,
137539575,30,,,10,500,,
137539590,500,,,30,500,,
137539591,500,,,10,500,,
137539592,500,,,10,500,,
137539627,500,,,10,500,,
137539632,500,,,75,500,,
137539644,500,,,30,500,,
137539649,300,,,30,500,,
137539653,75,,,30,500,,
137539654,300,,,10,500,,
137539655,300,,,10,500,,
137539656,75,,,10,500,,
137539657,300,,,30,500,,
137539674,500,,,10,500,,
137539689,500,,,30,500,,
137539697,75,,,30,500,,
137539709,75,,,10,75,,
137539717,500,,,30,500,,
137539728,500,,,10,500,,
137539730,500,,,10,500,,
137539740,500,,,30,500,,
137539744,75,,,10,75,,
137539745,75,,,10,500,,
137539748,500,,,30,500,,
137539762,300,,,30,500,,
137539777,500,,,30,500,,
137539780,300,,,30,500,,
137539783,300,,,30,500,,
142426971,104,,,884,1009,,
142426985,104,,,78.2,222,,
142426991,104,,,522,519,,
142426997,104,,,209,302,,
142427004,104,,,793,409,,
