PubChem CID,P0DMS8,P14416,P18901,P21728,P21917,P23977,P29274,P29275,P30542,P35462,P61169,Q60613
681,,8000,3000,,,200,,,,,2622.5,
1220,,1000,100000,,,1000,,,,,2882.6,
1329,,,,,,,217,23.4,13,,,
1922,1250,,,,,,454,312.5,1340,,,
2690,406,,,,,,12,630.5,,,,
2726,,2,2.15,,,,,,,,40,
2769,,227,,1700,,,,,,,535,
2818,,230,130,,55,,,,,450,400,
3559,,4.05,337,,5.5,,,,,1.875,7.5,
3964,,54,,,14,,,,,22,,
4585,,10,,,173,,,,,,158,
4946,5012,5012,,5012,,,5012,,,,,
5265,,0.785,,,,,,,,93,0.06,
5355,,26.14,,,,,,,,313.11,123,
5615,,620,,,6.5,,,,,5500,,
6005,,4.2,384,,,,,,,,24,
10144,,,75000,,,31100,,,,,59000,
16104,,34,37,,110,,,,,120,115.5,
22179,,,2500,,,16500,,,,,6800,
37459,,1.1,,,,,,,,16,0.5,
37461,,3.6,,,,,,,,10,10.45,
54477,,440.6,,,3872,,,,,,1570,
54562,,462,30000,,,,,,,,4321,
56971,,,,,1800,,,,,1200,2900,
68551,,7079,,,3311,,,,,3890,3548,
100231,,,39100,,,3900,,,,,28400,
133381,,,4800,,,1400,,,,,27000,
146299,,,60,,,100000,,,,,30,
159034,,,1000,,,55000,,,,,1500,
160597,,,68000,,,800,,,,,19000,
164710,,,36000,,,8100,,,,,15000,
167715,,500.5,640,,,,,,,,7.4,
169713,,10000,,10000,,,,,,10000,,
177725,,,100,,,56750,,,,,200,
200521,,,100000,,,5800,,,,,100000,
442108,,,10000,,,4110,,,,,10000,
442203,,,800,,,41100,,,,,300,
443391,,1000,,,1000,,,,,1000,,
448222,1.1,,,,,,9.85,,0.20893,,,
449193,,,,,,,1000,1000,1000,,,
3033769,,50.9,10000,,,,,,,,23,
3036864,,31,1.005,4.4,,,,,,,5950,
3496768,,,400,,,46000,,,,,600,
4355631,,,,,,,27500,6500,5300,,,
4797946,,58005,,,198,,,,,100000,,
4913274,,,23,,,306.5,,,,,10,
5311200,,360,,,24,,,,,80,,
5464379,,,12500,,,24100,,,,,80000,
6466372,,62504,,,330,,,,,100000,,
6918388,,6,,,6,,,,,6,,
9839081,,871,,,132,,,,,170,195,
9839670,1.9,,,,,,10000,9400,610,,,
9841596,,10000,1000,10000,,,,,,,1000,
9858553,4.9,,,,,,10000,2700,1200,,,
9861399,,,3000,,,140,,,,,5000,
9863684,0.61,,,,,,10000,10000,10000,,,
9868793,,,,,1102,,,,,489,3516,
9896267,4800,,,,,,4400,,3250,,,
9901136,4,,,,,,10000,10000,3000,,,
9902350,26,,,,,,10000,10000,10000,,,
9928653,5.4,,,,,,10000,10000,10000,,,
9929288,0.9,,,,,,10000,10000,10000,,,
9930740,8.7,,,,,,10000,10000,10000,,,
9949655,,300,,,4.5,,,,,200,,
9954899,,140,64,,120,,,,,53,31,
10026300,,52,66,,150,,,,,29,40,
10049758,,23,100,,570,,,,,8,32,
10092041,,150,,,280,,,,,,51.5,
10108561,,1905,,,251,,,,,1660,,
10131882,45,,,,,,10000,10000,6200,,,
10153029,1467,,,,,,,18,59,,,
10156654,8.2,,,,,,10000,10000,10000,,,
10196060,8888,,,,,,,7,152,,,
10196517,4314,,,,,,,12,205,,,
10218183,5249,,,,,,,4,102,,,
10237847,1315,,,,,,,12,68,,,
10238677,844,,,,,,,17,123,,,
10246054,,447,,,1000,,,,,1000,,
10288169,2085,,,,,,,14,150,,,
10288197,1525,,,,,,,18,54,,,
10310578,6438,,,,,,,17,396,,,
10311222,3169,,,,,,,16,415,,,
10320519,,,16,,,107,,,,,82,
10333685,,,20000,,,180,,,,,27200,
10381889,,8.7,,,2.6,,,,,0.549541,8.9,
10385977,,20,,,60,,,,,,18,
10393931,,,100000,,,3400,,,,,3180,
10400783,,,23900,,,3600,,,,,4000,
10412646,,30,200,,490,,,,,52,43,
10425450,,27923,,,129.5,,,,,100000,,
10450082,,9800,,,20,,,,,5600,,
10518133,,,100000,,,91500,,,,,61200,
10571551,,,70000,,,250,,,,,5000,
10582557,,,51900,,,20300,,,,,21900,
10596380,,1000,,,1000,,,,,350,,
10712993,,,5000,,,250,,,,,3100,
10732779,,,16600,,,64800,,,,,14700,
10825736,,,100000,,,6800,,,,,53100,
10852400,,,100000,,,43600,,,,,100000,
10885636,3480,2240,,1120,776,,,,,195,,
10907460,2460,2890,,967,,,,,,341,,
10948527,,557,,,947,,,,,160,,
10981761,,123,,,1880,,,,,29,,
11005810,5980,551,,376,543,,,,,538,,
11046842,5,,,,,,10000,10000,10000,,,
11059058,1780,,,7580,,,,,2640,,,
11071079,4210,2620,,,338,,,,,456,,
11099480,,,50000,,,85750,,,,,2000,
11113605,5080,,,,716,,,,,977,,
11154555,,1.7,1000,1000,,,,,,,16,
11209208,,10000,,10000,,,,,,10000,,
11220599,,10000,,10000,,,,,,10000,,
11243002,,10000,,10000,,,,,,10000,,
11277680,,10000,,10000,,,,,,10000,,
11299968,,10000,,10000,,,,,,10000,,
11304851,,3200,,,,,25000,,,3200,,
11311147,,10000,,10000,,,,,,10000,,
11311148,,10000,,10000,,,,,,10000,,
11311204,,10000,,10000,,,,,,10000,,
11357862,,10000,,10000,,,,,,10000,,
11430418,1000,550,,1000,,,1000,,1000,,,
11470616,,10000,,10000,,,,,,10000,,
11530118,,10000,,10000,,,,,,10000,,
11551780,,10000,,10000,,,,,,10000,,
11580039,,10000,,10000,,,,,,10000,,
11730467,,,,2750,280,,,,,758,,
11743399,,1000,,1000,1000,,,,,1000,,
11794523,,,5000,,,210,,,,,3500,
12128799,6.2,,,,,,310,100,27,,,
12128800,4.1,,,,,,120,1500,38,,,
12128801,2.1,,,,,,190,2600,27,,,
13154762,,,5.3,,,145,,,,,91,
13891896,,,9800,,,2500,,,,,30000,
13992155,,,100000,,,84200,,,,,100000,
14137099,,,5640,,,1100,,,,,1450,
14140118,,,17200,,,40000,,,,,2800,
15840855,,120,,,8,,,,,150,,
16037920,12260,,,,,,,1,183,,,
16038374,12000,10000,,4500,,,10000,,10000,10000,,
16094666,,12069.5,,,68.5,,,,,50000,,
17863158,28,,,,,,10000,10000,10000,,,
17863209,48,,,,,,10000,10000,10000,,,
17863210,260,,,,,,10000,10000,2600,,,
17888044,,81,,,6.5,,,,,200,,
18180076,,10000,,,10000,,,,,2102,,
19426635,,1698,,,302,,,,,339,,
19964406,,100000,,100000,360,,,,,31800,,
21186098,,250,,,8,,,,,320,,
21186102,,50,,,57,,,,,72,,
21186115,,25,,,5,,,,,8,,
21186124,,23,,,6,,,,,33,,
21186138,,60,,,7,,,,,300,,
21186143,,490,,,17,,,,,1100,,
21186148,,450,,,25,,,,,480,,
21186186,,49,,,4.5,,,,,59,,
21186192,,70,,,8,,,,,200,,
21186194,,360,,,16,,,,,710,,
23930365,,,63000,,,100000,,,,,500,
24894071,,10000,,,10000,,,,,10000,,
25207803,22.9,,,,,,620.9,2.45,57.6,,,
25230881,130.3,,,,,,867.65,22.75,19.4,,,
25230948,37.3,,,,,,1605.65,12.85,118.3,,,
25230949,233.1,,,,,,5700,19.55,1103.5,,,
25230950,746.7,,,,,,3750,52.3,161.3,,,
25230951,360.8,,,,,,3750,36.7,216,,,
25230952,308.3,,,,,,828.3,68.9,256.2,,,
27842480,,10000,,50000,50000,,,,,,,
44190762,,3550,,1530,,,,,,837,,
44250364,,10000,,,10000,,,,,10000,,
44251387,,10000,,,10000,,,,,10000,,
44251388,,10000,,,10000,,,,,10000,,
44251389,,10000,,,10000,,,,,10000,,
44304314,,2300,,,4800,,,,,4000,,
44318454,,36,,,14,,,,,14,1000,
44318842,,55,,,1000,,,,,1000,1000,
44342270,,480,,2740,1690,,,,,154,,
44345317,,1000,,,1000,,,,,1000,,
44359441,,,10000,,,3350,,,,,10000,
44413096,18950,,,,,,,75,140,,,
44413106,950,,,,,,,6,370,,,
44413113,21880,,,,,,,15,350,,,
44413182,38050,,,,,,,20,101,,,
44413192,7600,,,,,,,15,12,,,
44413202,14860,,,,,,,13,102,,,
44447994,,,100000,,,32000,,,,,100000,
44461606,,9550,,,,,,,,1000,1000,
44469321,8300,10000,,10000,,,30000,,,10000,,
44469677,1,10000,,10000,,,10000,,10000,,,
44559884,,,100000,,,100000,,,,,81600,
44559885,,,30000,,,100000,,,,,10000,
44631910,10000,,,,,,50000,50000,0.6,,,
45109862,,1071,,,1845,,,,,334,,
45278805,,2542,,,984,,,,,915,,
45278882,,3736,,,645,,,,,1072,,
45361874,,64456.5,,,840.5,,,,,88205,,
45482789,,1590,,4900,,,,,,660,,
46175652,,,,,,,50000,50000,16,,,
46175736,,,,,,,50000,50000,5.1,,,
46175737,,,,,,,50000,50000,8,,,
46175738,,,,,,,50000,50000,7.3,,,
46175914,,,,,,,50000,50000,277,,,
46176000,,,,,,,50000,50000,6.4,,,
46213946,,,,,,,28,77,2,,,
46238636,,,,,,,33,120,10,,,
46238684,,,,,,,33,145,15,,,
46238686,,,,,,,22,169,6,,,
46238694,,,,,,,333,111,11,,,
46238729,,,,,,,168,172,87,,,
46240228,,,,,,,41,206,13,,,
46830335,,10000,,,10000,,,,,10000,,
46830336,,10000,,,10000,,,,,10000,,
46842383,,10000,,,10000,,,,,10000,,
46866711,,10000,,,10000,,,,,1195,,
46884818,,10000,,,10000,,,,,10000,,
46884856,,10000,,,10000,,,,,10000,,
46884898,,10000,,,10000,,,,,10000,,
46885027,,10000,,,10000,,,,,10000,,
46885213,,10000,,,3800,,,,,10000,,
46934428,,10000,,,1000,,,,,248,,
49864289,,10000,,,10000,,,,,1426,,
49864292,,10000,,,10000,,,,,943,,
49864602,,10000,,,10000,,,,,2893,,
49864722,,10000,,,10000,,,,,2416,,
49864723,,10000,,,10000,,,,,2508,,
49864724,,10000,,,10000,,,,,1171,,
51003550,,136,,,10000,,,,,1520,,
51003551,,10000,,,5522,,,,,482,,
51003586,,1000,,,10000,,,,,623,,
52941478,,,,,,,50000,50000,435,,,
52946211,13000,,,,,,50000,50000,3.2,,,
52947525,,,,,,,5500,1100,2.8,,,
52948788,,,,,,,50000,19000,9,,,
52948995,,,,,,,50000,50000,13,,,
