PubChem CID,P0DMS8,P9WID5,P09172,P14416,P15101,P18901,P19020,P20288,P21728,P21917,P21918,P22102,P23977,P25021,P25099,P27922,P28190,P29274,P29275,P29276,P30542,P30543,P31389,P31390,P32298,P34947,P35367,P35462,P43249,P43250,P46093,P47745,P47747,P49892,P55263,P61168,P61169,Q4KLH9,Q8BUD0,Q9GJT6,Q9H3N8,Q9JI35,Q9QYN8,Q9Y5N1,Q91ZY2,Q96NT5,Q01959,Q05754,Q60612,Q60613,Q60614,Q61327,Q61616,Q64640,Q64737,Q95136
681,,,,8000,,3000,117.5,6350,,,,,200,,,,,,,,,,,,,,,,,,,,,,,,2622.5,,,,,,,,,,460,,,,,,,,,200
1220,,,,1000,,100000,,800,,,,,1000,,,,,,,,,,,,,,,,,,,,,,,,2882.6,,,,,,,,,,,,,,,,,,,1000000
1329,,,,,,,,,,,,,,,4.7,,,217,23.4,,13,1100,,,,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,,
1922,1250,,,,,,,,,,,,,,13.4,,3,454,312.5,,1340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2477,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226,,,,,,,,,,,,,,,,,,,148500
2690,406,,,,,,,,,,,,,,21,,,12,630.5,,,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2726,,,,2,,2.15,,80,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,40,,,,,,,,,,,,,,,,,,,
2769,,,,227,,,,,1700,,,,,,,,,,,,,,,,,,,,,,,,,,,,535,,,,,,,,,,,,,,,,,,,
2801,,,,,,,,,,,,,1000,,,,,,,,,,,0.2,,,,,,,,,720,,,,,,,,,,,,,,2777,,,,,,,,,
2818,,,,230,,130,,250,,55,,,,,,,,,,,,,,23,,,,450,,,,,,,,290,400,,,,,,,,,,,,,,,,,,,
2995,,,,,,,,,,,,,,,,,,,,,,,,0.8,,,,,,,,,3800,,,,,,,,,,,,,,64950,,,,,,,,,
3100,,,,,,,,,,,,,,,,,,,,,,,1,,,,84000,,,,,,,,,,,,,,11000,,,,,,,,,,,,,,,
3151,,,,3.4,,,2.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
3386,,,,,,,,,,,,,6000,,,,,,,,,,,,,,,,,,,,,,,,100,,,,,,,,,,10000,,,,,,,,,
3455,,,,,,,,,,,,,7.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,,,,,5,,,,
3559,,,,4.05,,337,,15.6,,5.5,,,,,,,,,,,,,,1000,,,,1.875,,,,,,,,,7.5,,,,,,,,,,,,,,,,,,,
3696,,,,410,,,,,,,,,20000,,,,,,,,,,,0.06,,,27,,,,,,1900,,,,,,,,,,,,,,25600,,,,,,,,,
3964,,,,54,,,,,,14,,,,,,,,,,,,,,1000,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4020,,,,,,,,,,,,,12.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.1,,,,,13,,,,
4168,,,,280,,,61.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,522.5,,,,,,,,,,,,,,,,,,,
4585,,,,10,,,,,,173,,,,,,,,,,,,,,13,,,,,,,,,,,,,158,,,,,,,,,,,,,,,,,,,
4946,5012,,,5012,,,,,5012,,,,,,,,,5012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
