PubChem CID,Ligand SMILES
681,NCCc1ccc(O)c(O)c1
1220,CCCN(CCC)C1CCc2cccc(O)c2C1
1329,CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)C1CCCC1
1922,Cn1c2nc([nH]c2c(=O)n(C)c1=O)-c1ccccc1
2690,Nc1nc2ccc(Cl)cc2c2nc(nn12)-c1ccco1
2726,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12
2801,CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc12
2818,CN1CCN(CC1)C1=c2ccccc2=Nc2ccc(Cl)cc2N1
3559,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1
3696,CN(C)CCCN1c2ccccc2CCc2ccccc12
3964,CN1CCN(CC1)C1=Nc2ccccc2Oc2ccc(Cl)cc12
4585,CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12
4946,CC(C)NCC(O)COc1cccc2ccccc12
4992,COc1ccc(CN(CCN(C)C)c2ccccn2)cc1
5073,Cc1nc2CCCCn2c(=O)c1CCN1CCC(CC1)c1noc2cc(F)ccc12
5452,CSc1ccc2Sc3ccccc3N(CCC3CCCCN3C)c2c1
6005,CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31
16104,CN1CCN(CC1)C1=Nc2ccccc2Nc2ccc(Cl)cc12
54562,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@@H]12
56971,O=C1N(CCCCN2CCN(CC2)c2ncccn2)S(=O)(=O)c2ccccc12
60795,Clc1cccc(N2CCN(CCCCOc3ccc4CCC(=O)Nc4c3)CC2)c1Cl
68551,Cl.CN1CCN2C(C1)c1ccccc1Cc1ccccc21
121852,CCCN(CCCCN1C(=O)CC2(CCCC2)CC1=O)C1COc2cccc(OC)c2C1
442108,CC[C@H]1C[C@H]2C[C@@H]3[C@H]1N(C2)CCc1c3[nH]c2ccc(OC)cc12
446220,COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)c1ccccc1)N2C
448222,CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
3036864,CN1CCc2cc(Cl)c(O)cc2[C@H](C1)c1ccccc1
3201696,CN1CCN(CC1)C(c1nnnn1Cc1ccccc1)c1ccccc1
6439091,OCC[C@H]1CCCCN1C(=O)\C=C\c1c(nn2ccccc12)-c1ccccc1
9804849,CN(C)CCN(C)c1cc(C)c2cc(NC(=O)\C=C\c3ccc(OC(F)(F)F)cc3)ccc2n1
9839081,CN(C)C[C@@H]1C[C@H]2N(O1)c1ccccc1Cc1ccccc21
9839670,CCCCc1nc2n[nH]cc2c2nc(nn12)-c1ccc(F)cc1
9841596,CCCN(CCC)CCc1ccc(OC)c(OCCc2ccccc2)c1
9858553,CCCCc1nc2n[nH]cc2c2nc(nn12)-c1ccc(Cl)cc1
9861399,CCN1CCc2c(sc3ccccc23)C(C1)c1ccccc1
9863684,CCCCc1nc2nc[nH]c2c2nc(nn12)-c1ccc(cc1)C(F)(F)F
9901136,CCCCc1nc2n[nH]cc2c2nc(nn12)-c1ccc(C)cc1
9902350,CCCCc1nc2ccccc2c2nc(nn12)-c1ccc(Cl)cc1
9911120,COc1cccc2OCC3(CCCN3CCCCN3C(=O)CC4(CCCC4)CC3=O)Cc12
9928653,OC(=O)CCCc1nc2nc[nH]c2c2nc(nn12)-c1ccc(Cl)cc1
9929288,COCCc1nc2nc[nH]c2c2nc(nn12)-c1ccc(cc1)-c1ccccc1
9930740,OC(=O)CCCc1nc2nc[nH]c2c2nc(nn12)-c1ccc(cc1)-c1ccccc1
9954899,CN1CCN(CC1)C1=Nc2ccccc2Nc2ccc(OS(=O)(=O)C(F)(F)F)cc12
