PubChem CID,Ligand SMILES
681,NCCc1ccc(O)c(O)c1
1220,CCCN(CCC)C1CCc2cccc(O)c2C1
1329,CCCn1c2nc([nH]c2c(=O)n(CCC)c1=O)C1CCCC1
1922,Cn1c2nc([nH]c2c(=O)n(C)c1=O)-c1ccccc1
2690,Nc1nc2ccc(Cl)cc2c2nc(nn12)-c1ccco1
2726,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12
2769,COC1CN(CCCOc2ccc(F)cc2)CCC1NC(=O)c1cc(Cl)c(N)cc1OC
2818,CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2ccccc12
3559,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1
3964,CN1CCN(CC1)C1=Nc2ccccc2Oc2ccc(Cl)cc12
4585,CN1CCN(CC1)C1=Nc2ccccc2Nc2sc(C)cc12
4946,CC(C)NCC(O)COc1cccc2ccccc12
5265,Fc1ccc(cc1)C(=O)CCCN1CCC2(CC1)N(CNC2=O)c1ccccc1
5355,CCN1CCCC1CNC(=O)c1cc(ccc1OC)S(N)(=O)=O
5615,CC(C)Oc1cccnc1N(C)C1CCN(Cc2ccccc2)CC1
6005,CN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31
10144,O=C1c2ccccc2-c2c3OCOc3cc3ccnc1c23
16104,CN1CCN(CC1)C1=Nc2ccccc2Nc2ccc(Cl)cc12
22179,COc1cc-2c(C[C@@H]3NCCc4cc(O)c(OC)c-2c34)cc1O
37459,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc([C@@H]2C1)c34
37461,CC(C)(C)[C@@]1(O)CCN2C[C@@H]3c4ccccc4CCc4cccc([C@H]2C1)c34
54477,CCN1CCC[C@H]1CNC(=O)c1c(OC)ccc(Br)c1OC
54562,CCCN1CCC[C@@H]2Cc3[nH]ncc3C[C@@H]12
56971,O=C1N(CCCCN2CCN(CC2)c2ncccn2)S(=O)(=O)c2ccccc12
68551,Cl.CN1CCN2C(C1)c1ccccc1Cc1ccccc21
100231,COc1ccc2C[C@H]3N(C)CCc4cc(OC)c(Oc5c(OC)c(OC)cc6CCN(C)[C@@H](Cc7ccc(Oc1c2)cc7)c56)cc34
133381,COc1c2OCOc2c2-c3ccccc3C[C@H]3NCCc1c23
146299,COc1cc2C[C@@H]3N(C)CCc4ccc(O)c(Oc2cc1O)c34
159034,COc1ccc2C[C@@H]3N(C)CCc4ccc(O)c(Oc2c1O)c34
160597,C1Oc2cc3CCN[C@@H]4Cc5ccccc5-c(c2O1)c34
164710,Oc1ccc-2c(C[C@H]3NCCc4cc5OCOc5c-2c34)c1
167715,CCCN1CCc2cccc-3c2[C@H]1Cc1ccc(O)c(O)c-31
169713,CCN(CC)C(=O)[C@H]1CN[C@@H]2Cc3c[nH]c4cccc(C2=C1)c34
177725,COc1cc2Oc3c(O)ccc4CCN(C)[C@@H](Cc2cc1O)c34
200521,COc1ccc(C[C@H]2N(C)CCc3cc(OC)c(OC)cc23)cc1Oc1ccc(C[C@H]2N(C)CCc3cc(OC)c(OC)cc23)cc1
442108,CC[C@H]1C[C@H]2C[C@@H]3[C@H]1N(C2)CCc1c3[nH]c2ccc(OC)cc12
442203,COc1cc2C[C@@H]3N(C)CCc4ccc(O)c(Oc2cc1OC)c34
443391,Cc1cc2CCN(C(=O)Nc3ccc(Oc4cccnc4C)nc3)c2cc1C(F)(F)F
448222,CCNC(=O)[C@H]1O[C@H]([C@H](O)[C@@H]1O)n1cnc2c(N)ncnc12
449193,FC(F)Oc1ccc(cc1OCC1CC1)C(=O)Nc1c(Cl)cncc1Cl
3033769,CCN1CCC[C@H]1CNC(=O)c1c(O)c(Cl)cc(Cl)c1OC
