,P09172,P0DMS8,P14416,P15101,P18901,P19020,P20288,P21728,P21917,P21918,P22102,P23977,P25021,P25099,P27922,P28190,P29274,P29275,P29276,P30542,P30543,P31389,P31390,P32298,P34947,P35367,P35462,P43249,P43250,P46093,P47745,P47747,P49892,P55263,P61168,P61169,P9WID5,Q01959,Q05754,Q4KLH9,Q60612,Q60613,Q60614,Q61327,Q61616,Q64640,Q64737,Q8BUD0,Q91ZY2,Q95136,Q96NT5,Q9GJT6,Q9H3N8,Q9JI35,Q9QYN8,Q9Y5N1
P09172,1,0.013332642,0.01129565,0.73297065,0.012196367,0.011258185,0.01128312,0.012196367,0.011623128,0.010891678,0.008727515,0.010350332,0.011512728,0.014268082,0.009783478,0.014268082,0.010743376,0.014140496,0.014140496,0.014268082,0.013706217,0.01165571,0.010780875,0.009890049,0.008974608,0.012564976,0.012882987,0.008974608,0.008255784,0.013531803,0.014268082,0.013605951,0.012109633,0.013531803,0.01128312,0.01128312,0.014311384,0.011137661,0.644393243,0.013476981,0.014268082,0.013706217,0.014140496,0.010350332,0.012196367,0.013550226,0.008104121,0.013476981,0.011023859,0.013134549,0.011100039,0.011137661,0.01404807,0.012209851,0.012209851,0.012209851
P0DMS8,0.013332642,1,0.070820053,0.012290388,0.031371182,0.056206701,0.072051522,0.033985447,0.055329677,0.039201958,0.009554055,0.01553,0.068535551,0.273720785,0.013630939,0.272191619,0.172816149,0.180343608,0.200045011,0.26760412,0.173231074,0.047469155,0.04506172,0.012631135,0.012503973,0.048767529,0.063513136,0.012503973,0.012652708,0.024654361,0.264545787,0.056869925,0.296024805,0.014502565,0.070741495,0.070741495,0.01687188,0.01551767,0.014409265,0.020221335,0.269133286,0.17186705,0.195498533,0.01553,0.033985447,0.01452231,0.010422606,0.020221335,0.041888494,0.033985447,0.019331566,0.01551767,0.054523755,0.032714443,0.030097288,0.034023021
P14416,0.01129565,0.070820053,1,0.010412634,0.068660401,0.323368341,0.94117705,0.078627233,0.131482249,0.085709913,0.011773621,0.011277677,0.08277284,0.058299156,0.009771699,0.06477684,0.058795729,0.059061793,0.068049457,0.059594692,0.053158769,0.049741716,0.050902781,0.011674168,0.00866748,0.051910741,0.34508235,0.010593587,0.014617634,0.03317444,0.054412545,0.085243671,0.050679276,0.01228683,0.92563875,0.928968386,0.016893092,0.011268723,0.010329663,0.031816334,0.058299156,0.053158769,0.070617361,0.011277677,0.07419753,0.013533914,0.008830216,0.031816334,0.035488672,0.07419753,0.014194305,0.011268723,0.034349004,0.033259505,0.037694106,0.038802756
P15101,0.73297065,0.012290388,0.010412634,1,0.010378097,0.013208488,0.010401083,0.010378097,0.010714512,0.009127492,0.008776645,0.010408597,0.01263004,0.014348401,0.010595364,0.015452124,0.011786022,0.014220097,0.014220097,0.014348401,0.009845267,0.011721324,0.0099381,0.009945723,0.009025129,0.009928057,0.011958932,0.009025129,0.00996271,0.016748281,0.014348401,0.013682543,0.014391947,0.013607978,0.010401083,0.010401083,0.013284875,0.010400333,0.647220711,0.016680428,0.014348401,0.010829794,0.014220097,0.010408597,0.010378097,0.013626505,0.008776645,0.016680428,0.012093727,0.010378097,0.013022946,0.010400333,0.012108987,0.014167597,0.013223091,0.012278584
P18901,0.012196367,0.031371182,0.068660401,0.010378097,1,0.072847682,0.069690436,0.847682119,0.055837057,0.390822274,0.010267749,0.01405034,0.070185123,0.043902153,0.012395459,0.043902153,0.034471011,0.040950191,0.039670497,0.051649592,0.039160944,0.048521911,0.048620034,0.011635448,0.011518309,0.049626787,0.06995345,0.011518309,0.01165532,0.023267547,0.047775873,0.078804349,0.041445075,0.013470685,0.070796633,0.070796633,0.01813222,0.012167293,0.010295402,0.023173282,0.043902153,0.039160944,0.038390804,0.011240272,0.966887417,0.013489025,0.009534339,0.023173282,0.023580643,0.873068433,0.015235474,0.012167293,0.023610398,0.034254165,0.035359138,0.035359138
P19020,0.011258185,0.056206701,0.323368341,0.013208488,0.072847682,1,0.325222035,0.086092715,0.140162408,0.080086532,0.010267749,0.012176961,0.066491169,0.038737194,0.015051629,0.041319674,0.057451684,0.06270498,0.070383141,0.038737194,0.048375284,0.040083318,0.041221333,0.01551393,0.011518309,0.041179675,0.74383835,0.011518309,0.016511704,0.020818331,0.036154715,0.066491169,0.038854758,0.012246077,0.329646824,0.331859219,0.016837062,0.012167293,0.012167293,0.019514343,0.038737194,0.048375284,0.069103447,0.012176961,0.078366446,0.01226275,0.008800928,0.019514343,0.047161286,0.087196468,0.015235474,0.012167293,0.041318196,0.034254165,0.038674057,0.037569084
P20288,0.01128312,0.072051522,0.94117705,0.010401083,0.069690436,0.325222035,1,0.077433818,0.122199955,0.08989558,0.011760561,0.011265168,0.082681024,0.062116786,0.00976086,0.065999085,0.062185245,0.061561334,0.065408917,0.063410885,0.056562832,0.0507437,0.051905615,0.011661218,0.00961985,0.052911386,0.344699563,0.010581836,0.014601419,0.034364961,0.058234486,0.083915069,0.054517141,0.0122732,0.945676275,0.949002217,0.016874353,0.013132261,0.010318205,0.033003389,0.062116786,0.056562832,0.067973973,0.011265168,0.075221423,0.013518901,0.008820421,0.030558694,0.034267662,0.074115226,0.01417856,0.012194242,0.034310902,0.033222612,0.040974554,0.038759714
P21728,0.012196367,0.033985447,0.078627233,0.010378097,0.847682119,0.086092715,0.077433818,1,0.054697525,0.385483172,0.009534339,0.012176961,0.084960939,0.046484633,0.013280849,0.046484633,0.039067145,0.049908045,0.051187739,0.054232072,0.044919907,0.049576735,0.044392205,0.010665827,0.009598591,0.044347342,0.078114686,0.01055845,0.01165532,0.02694137,0.050358352,0.10835598,0.050511185,0.013470685,0.078540015,0.078540015,0.020722538,0.013103239,0.010295402,0.029271514,0.046484633,0.042616322,0.048628352,0.012176961,0.864238411,0.013489025,0.008800928,0.029271514,0.031833868,0.917218543,0.014147226,0.013103239,0.027151958,0.034254165,0.035359138,0.035359138
P21917,0.011623128,0.055329677,0.131482249,0.010714512,0.055837057,0.140162408,0.122199955,0.054697525,1,0.073863122,0.011357771,0.01353874,0.076273925,0.047991469,0.01736772,0.047991469,0.055755184,0.070022314,0.067379963,0.047991469,0.055889051,0.04900577,0.038192678,0.015015775,0.013873632,0.042514546,0.175737878,0.013873632,0.018049705,0.031607609,0.04399218,0.075002693,0.04278855,0.012643043,0.133620512,0.133620512,0.022731417,0.012561706,0.010629136,0.031479556,0.047991469,0.055889051,0.067379963,0.01353874,0.05127893,0.012660257,0.009843402,0.031479556,0.019476023,0.054697525,0.025841066,0.012561706,0.021938173,0.062743539,0.059321164,0.065025122
P21918,0.010891678,0.039201958,0.085709913,0.009127492,0.390822274,0.080086532,0.08989558,0.385483172,0.073863122,1,0.009223951,0.010874348,0.079812596,0.054964971,0.011135362,0.056214175,0.037795326,0.04333117,0.044569204,0.053715767,0.035657479,0.038778417,0.032721547,0.012194714,0.011143334,0.045968172,0.07444375,0.011143334,0.009396571,0.024879561,0.047469748,0.084577527,0.040095843,0.01184741,0.08989558,0.08989558,0.015035941,0.011771191,0.010865715,0.024778765,0.054964971,0.035657479,0.04704527,0.010874348,0.390822274,0.01186354,0.008514416,0.024778765,0.023953632,0.396161377,0.014739488,0.011771191,0.020557592,0.039553037,0.044898041,0.042760039
