,P0DMS8,P14416,P18901,P21728,P21917,P23977,P29274,P29275,P30542,P35462,P61169,Q60613
P0DMS8,1.0,0.07082005278281703,0.031371182113347496,0.033985447289459784,0.055329676992311956,0.015530000014214704,0.17281614902465112,0.18034360803976288,0.2676041196779891,0.06351313618117528,0.07074149474113063,0.17186705014197992
P14416,0.07082005278281703,1.0,0.0686604010657932,0.07862723347856962,0.13148224860925678,0.011277677488692019,0.05879572942861634,0.05906179320913648,0.05959469236579617,0.3450823497856016,0.9289683857057776,0.053158768804917794
P18901,0.031371182113347496,0.0686604010657932,1.0000000000000002,0.8476821192052981,0.05583705680002608,0.01405034019189184,0.03447101069423332,0.04095019095050576,0.051649592304422384,0.0699534498085462,0.07079663344016776,0.03916094425703668
P21728,0.033985447289459784,0.07862723347856962,0.8476821192052981,1.0000000000000002,0.05469752502859698,0.012176961499639595,0.03906714545346443,0.0499080452209289,0.05423207191964351,0.07811468561954325,0.07854001522268611,0.04261632169148109
P21917,0.055329676992311956,0.13148224860925678,0.05583705680002608,0.05469752502859698,1.0,0.013538740131029424,0.0557551843815512,0.07002231397582907,0.047991468941548196,0.1757378780928594,0.13362051156636107,0.055889050563153055
P23977,0.015530000014214704,0.011277677488692019,0.01405034019189184,0.012176961499639595,0.013538740131029424,1.0,0.018527215014644608,0.017375996236081607,0.013149581488811717,0.01286248902279313,0.011265167581914636,0.011729493592391836
P29274,0.17281614902465112,0.05879572942861634,0.03447101069423332,0.03906714545346443,0.0557551843815512,0.018527215014644608,0.9999999999999999,0.3663528773404034,0.2621213994266973,0.060686047263964225,0.05642735228402013,0.7338150596533267
P29275,0.18034360803976288,0.05906179320913648,0.04095019095050576,0.0499080452209289,0.07002231397582907,0.017375996236081607,0.3663528773404034,0.9999999999999998,0.26198661626046515,0.066235087921692,0.058996278165999956,0.35788474156450567
P30542,0.2676041196779891,0.05959469236579617,0.051649592304422384,0.05423207191964351,0.047991468941548196,0.013149581488811717,0.2621213994266973,0.26198661626046515,1.0,0.0477376498898068,0.055646287097674184,0.25466610516911725
P35462,0.06351313618117528,0.3450823497856016,0.0699534498085462,0.07811468561954325,0.1757378780928594,0.01286248902279313,0.060686047263964225,0.066235087921692,0.0477376498898068,1.0000000000000002,0.34586803590706205,0.05109867190599996
P61169,0.07074149474113063,0.9289683857057776,0.07079663344016776,0.07854001522268611,0.13362051156636107,0.011265167581914636,0.05642735228402013,0.058996278165999956,0.055646287097674184,0.34586803590706205,0.9999999999999999,0.05079111473313907
Q60613,0.17186705014197992,0.053158768804917794,0.03916094425703668,0.04261632169148109,0.055889050563153055,0.011729493592391836,0.7338150596533267,0.35788474156450567,0.25466610516911725,0.05109867190599996,0.05079111473313907,1.0000000000000002
