,P0DMS8,P14416,P18901,P20288,P21728,P21917,P21918,P23977,P25021,P25099,P29274,P29275,P30542,P30543,P31390,P35367,P35462,P61169,Q01959
P0DMS8,1.0,0.07082005278281703,0.031371182113347496,0.07205152242152195,0.033985447289459784,0.055329676992311956,0.03920195774162358,0.015530000014214704,0.06853555109346704,0.2737207852706288,0.17281614902465112,0.18034360803976288,0.2676041196779891,0.17323107434945595,0.045061720498846804,0.04876752898103251,0.06351313618117528,0.07074149474113063,0.01551766972246191
P14416,0.07082005278281703,1.0,0.0686604010657932,0.941177050272998,0.07862723347856962,0.13148224860925678,0.08570991287109668,0.011277677488692019,0.08277284036048964,0.058299155575235385,0.05879572942861634,0.05906179320913648,0.05959469236579617,0.053158768804917794,0.05090278103806222,0.051910740970037804,0.3450823497856016,0.9289683857057776,0.01126872339638022
P18901,0.031371182113347496,0.0686604010657932,1.0000000000000002,0.06969043604266514,0.8476821192052981,0.05583705680002608,0.3908222744976998,0.01405034019189184,0.07018512329483932,0.04390215345875903,0.03447101069423332,0.04095019095050576,0.051649592304422384,0.03916094425703668,0.048620034261934425,0.04962678738072749,0.0699534498085462,0.07079663344016776,0.012167293406412571
P20288,0.07205152242152195,0.941177050272998,0.06969043604266514,0.9999999999999999,0.07743381782518349,0.12219995502222764,0.08989557996643849,0.011265167581914636,0.08268102353759793,0.06211678559740374,0.06218524537422626,0.06156133373843473,0.06341088529734966,0.056562832316450325,0.051905614742703915,0.05291138604314986,0.34469956281278147,0.9490022172949001,0.013132260659050503
P21728,0.033985447289459784,0.07862723347856962,0.8476821192052981,0.07743381782518349,1.0000000000000002,0.05469752502859698,0.38548317238707547,0.012176961499639595,0.08496093872533181,0.046484633073980146,0.03906714545346443,0.0499080452209289,0.05423207191964351,0.04491990664777737,0.044392205195679255,0.044347341914692646,0.07811468561954325,0.07854001522268611,0.013103239053059691
P21917,0.055329676992311956,0.13148224860925678,0.05583705680002608,0.12219995502222764,0.05469752502859698,1.0,0.07386312217015595,0.013538740131029424,0.07627392542713822,0.047991468941548196,0.0557551843815512,0.07002231397582907,0.047991468941548196,0.055889050563153055,0.03819267780932887,0.04251454611090236,0.1757378780928594,0.13362051156636107,0.012561705772469714
P21918,0.03920195774162358,0.08570991287109668,0.3908222744976998,0.08989557996643849,0.38548317238707547,0.07386312217015595,1.0000000000000002,0.010874348493121364,0.07981259552314605,0.054964970992931274,0.037795326348894605,0.04333117016954435,0.05371576710672829,0.035657479116033466,0.03272154695751618,0.045968172440675595,0.07444375004781978,0.08989557996643849,0.01177119084950539
P23977,0.015530000014214704,0.011277677488692019,0.01405034019189184,0.011265167581914636,0.012176961499639595,0.013538740131029424,0.010874348493121364,1.0,0.014629248781030174,0.013149581488811717,0.018527215014644608,0.017375996236081607,0.013149581488811717,0.01368440919112381,0.011660698315190706,0.011648913877298774,0.01286248902279313,0.011265167581914636,0.882446664380812
P25021,0.06853555109346704,0.08277284036048964,0.07018512329483932,0.08268102353759793,0.08496093872533181,0.07627392542713822,0.07981259552314605,0.014629248781030174,1.0,0.07202368205343741,0.09485558162808563,0.12420057735533138,0.0777855766177124,0.09379841663272587,0.05423924926213159,0.06831950429822121,0.07153506650019222,0.0851491137924516,0.016705867034419602
P25099,0.2737207852706288,0.058299155575235385,0.04390215345875903,0.06211678559740374,0.046484633073980146,0.047991468941548196,0.054964970992931274,0.013149581488811717,0.07202368205343741,1.0,0.25540033790293587,0.25749541712457147,0.9244712990936556,0.2519712257493383,0.045750332743814515,0.051880326237222496,0.0477376498898068,0.05435218739772827,0.013139141168397307
