,P0DMS8,P14416,P18901,P20288,P21728,P21917,P21918,P23977,P25021,P25099,P29274,P29275,P30542,P30543,P31390,P35367,P35462,P61169,Q01959
P0DMS8,646.0,54.0,24.0,55.0,26.0,41.0,31.0,14.0,47.0,179.0,127.0,119.0,175.0,127.0,36.0,39.0,46.0,54.0,14.0
P14416,54.0,900.0,62.0,848.0,71.0,115.0,80.0,12.0,67.0,45.0,51.0,46.0,46.0,46.0,48.0,49.0,295.0,837.0,12.0
P18901,24.0,62.0,906.0,63.0,768.0,49.0,366.0,15.0,57.0,34.0,30.0,32.0,40.0,34.0,46.0,47.0,60.0,64.0,13.0
P20288,55.0,848.0,63.0,902.0,70.0,107.0,84.0,12.0,67.0,48.0,54.0,48.0,49.0,49.0,49.0,50.0,295.0,856.0,14.0
P21728,26.0,71.0,768.0,70.0,906.0,48.0,361.0,13.0,69.0,36.0,34.0,39.0,42.0,39.0,42.0,42.0,67.0,71.0,14.0
P21917,41.0,115.0,49.0,107.0,48.0,850.0,67.0,14.0,60.0,36.0,47.0,53.0,36.0,47.0,35.0,39.0,146.0,117.0,13.0
P21918,31.0,80.0,366.0,84.0,361.0,67.0,968.0,12.0,67.0,44.0,34.0,35.0,43.0,32.0,32.0,45.0,66.0,84.0,13.0
P23977,14.0,12.0,15.0,12.0,13.0,14.0,12.0,1258.0,14.0,12.0,19.0,16.0,12.0,14.0,13.0,13.0,13.0,12.0,1111.0
P25021,47.0,67.0,57.0,67.0,69.0,60.0,67.0,14.0,728.0,50.0,74.0,87.0,54.0,73.0,46.0,58.0,55.0,69.0,16.0
P25099,179.0,45.0,34.0,48.0,36.0,36.0,44.0,12.0,50.0,662.0,190.0,172.0,612.0,187.0,37.0,42.0,35.0,42.0,12.0
P29274,127.0,51.0,30.0,54.0,34.0,47.0,34.0,19.0,74.0,190.0,836.0,275.0,195.0,608.0,32.0,33.0,50.0,49.0,16.0
P29275,119.0,46.0,32.0,48.0,39.0,53.0,35.0,16.0,87.0,172.0,275.0,674.0,175.0,266.0,30.0,31.0,49.0,46.0,15.0
P30542,175.0,46.0,40.0,49.0,42.0,36.0,43.0,12.0,54.0,612.0,195.0,175.0,662.0,187.0,37.0,41.0,35.0,43.0,12.0
P30543,127.0,46.0,34.0,49.0,39.0,47.0,32.0,14.0,73.0,187.0,608.0,266.0,187.0,832.0,28.0,31.0,42.0,44.0,11.0
P31390,36.0,48.0,46.0,49.0,42.0,35.0,32.0,13.0,46.0,37.0,32.0,30.0,37.0,28.0,988.0,681.0,43.0,47.0,14.0
P35367,39.0,49.0,47.0,50.0,42.0,39.0,45.0,13.0,58.0,42.0,33.0,31.0,41.0,31.0,681.0,990.0,42.0,48.0,13.0
P35462,46.0,295.0,60.0,295.0,67.0,146.0,66.0,13.0,55.0,35.0,50.0,49.0,35.0,42.0,43.0,42.0,812.0,296.0,13.0
P61169,54.0,837.0,64.0,856.0,71.0,117.0,84.0,12.0,69.0,42.0,49.0,46.0,43.0,44.0,47.0,48.0,296.0,902.0,13.0
Q01959,14.0,12.0,13.0,14.0,14.0,13.0,13.0,1111.0,16.0,12.0,16.0,15.0,12.0,11.0,14.0,13.0,13.0,13.0,1260.0
