,P09172,P0DMS8,P14416,P15101,P18901,P19020,P20288,P21728,P21917,P21918,P22102,P23977,P25021,P25099,P27922,P28190,P29274,P29275,P29276,P30542,P30543,P31389,P31390,P32298,P34947,P35367,P35462,P43249,P43250,P46093,P47745,P47747,P49892,P55263,P61168,P61169,P9WID5,Q01959,Q05754,Q4KLH9,Q60612,Q60613,Q60614,Q61327,Q61616,Q64640,Q64737,Q8BUD0,Q91ZY2,Q95136,Q96NT5,Q9GJT6,Q9H3N8,Q9JI35,Q9QYN8,Q9Y5N1
P09172,1254,12,12,914,13,12,12,13,12,12,14,13,11,13,13,13,11,13,13,13,14,13,12,12,11,14,13,11,10,13,13,13,11,13,12,12,13,14,810,13,13,14,13,13,13,13,13,13,11,14,12,14,14,13,13,13
P0DMS8,12,646,54,11,24,43,55,26,41,31,11,14,47,179,13,178,127,119,132,175,127,38,36,11,11,39,46,11,11,17,173,39,193,10,54,54,11,14,13,14,176,126,129,14,26,10,12,14,30,26,15,14,39,25,23,26
P14416,12,54,900,11,62,292,848,71,115,80,16,12,67,45,11,50,51,46,53,46,46,47,48,12,9,49,295,11,15,27,42,69,39,10,834,837,13,12,11,26,45,46,55,12,67,11,12,26,30,67,13,12,29,30,34,35
P15101,914,11,11,1240,11,14,11,11,11,10,14,13,12,13,14,14,12,13,13,13,10,13,11,12,11,11,12,11,12,16,13,13,13,13,11,11,12,13,809,16,13,11,13,13,11,13,14,16,12,11,14,13,12,15,14,13
P18901,13,24,62,11,906,66,63,768,49,366,14,15,57,34,14,34,30,32,31,40,34,46,46,12,12,47,60,12,12,19,37,64,32,11,64,64,14,13,11,19,34,34,30,12,876,11,13,19,20,791,14,13,20,31,32,32
P19020,12,43,292,14,66,906,294,78,123,75,14,13,54,30,17,32,50,49,55,30,42,38,39,16,12,39,638,12,17,17,28,54,30,10,298,300,13,13,13,16,30,42,54,13,71,10,12,16,40,79,14,13,35,31,35,34
P20288,12,55,848,11,63,294,902,70,107,84,16,12,67,48,11,51,54,48,51,49,49,48,49,12,10,50,295,11,15,28,45,68,42,10,853,856,13,14,11,27,48,49,53,12,68,11,12,25,29,67,13,13,29,30,37,35
P21728,13,26,71,11,768,78,70,906,48,361,13,13,69,36,15,36,34,39,40,42,39,47,42,11,10,42,67,11,12,22,39,88,39,11,71,71,16,14,11,24,36,37,38,13,783,11,12,24,27,831,13,14,23,31,32,32
P21917,12,41,115,11,49,123,107,48,850,67,15,14,60,36,19,36,47,53,51,36,47,45,35,15,14,39,146,14,18,25,33,59,32,10,117,117,17,13,11,25,36,47,51,14,45,10,13,25,16,48,23,13,18,55,52,57
P21918,12,31,80,10,366,75,84,361,67,968,13,12,67,44,13,45,34,35,36,43,32,38,32,13,12,45,66,12,10,21,38,71,32,10,84,84,12,13,12,21,44,32,38,12,366,10,12,21,21,371,14,13,18,37,42,40
P22102,14,11,16,14,14,14,16,13,15,13,2052,20,14,13,18,13,12,14,13,13,13,13,13,14,11,12,14,13,12,15,13,12,12,12,16,16,13,20,14,13,13,11,14,20,12,13,1634,11,11,12,13,19,11,14,14,17
P23977,13,14,12,13,15,13,12,13,14,12,20,1258,14,12,947,12,19,16,19,12,14,13,13,17,13,13,13,13,14,16,12,14,11,11,12,12,15,1111,11,15,12,12,19,1244,12,11,16,15,12,13,18,1110,13,14,14,14
P25021,11,47,67,12,57,54,67,69,60,67,14,14,728,50,14,51,74,87,83,54,73,56,46,12,11,58,55,11,12,25,49,578,47,14,69,69,10,16,11,25,48,65,82,14,60,10,15,22,34,73,15,16,27,27,27,28
P25099,13,179,45,13,34,30,48,36,36,44,13,12,50,662,13,585,190,172,175,612,187,35,37,11,11,42,35,11,11,21,608,52,480,10,42,42,12,12,12,24,644,190,176,12,34,10,14,24,21,36,11,12,29,21,20,22
P27922,13,13,11,14,14,17,11,15,19,13,18,947,14,13,1408,12,16,14,16,12,17,13,13,14,14,13,15,14,14,18,13,12,15,10,11,11,15,971,13,19,13,17,16,941,13,10,14,19,12,14,16,968,15,14,14,16
P28190,13,178,50,14,34,32,51,36,36,45,13,12,51,585,12,662,193,170,173,608,188,32,34,11,11,39,37,11,11,19,578,54,472,11,45,45,13,12,15,21,581,188,179,12,34,11,14,21,19,36,11,12,25,23,22,24
P29274,11,127,51,12,30,50,54,34,47,34,12,19,74,190,16,193,836,275,284,195,608,35,32,14,12,33,50,12,14,16,193,50,174,12,49,49,13,16,13,15,190,612,287,19,30,11,11,15,18,35,16,16,19,26,26,23
P29275,13,119,46,13,32,49,48,39,53,35,14,16,87,172,14,170,275,674,542,175,266,29,30,10,11,31,49,11,11,25,167,73,168,9,46,46,12,15,12,25,171,268,553,16,35,11,14,25,30,37,22,15,29,41,39,39
P29276,13,132,53,13,31,55,51,40,51,36,13,19,83,175,16,173,284,542,674,177,272,33,34,11,11,34,55,11,11,18,171,76,158,11,51,51,12,18,12,19,175,272,632,19,35,11,14,19,24,38,18,18,25,44,42,42
P30542,13,175,46,13,40,30,49,42,36,43,13,12,54,612,12,608,195,175,177,662,187,35,37,11,11,41,35,11,11,19,617,56,489,10,43,43,12,12,13,22,611,189,179,12,40,11,14,22,21,42,11,12,27,21,20,22
P30543,14,127,46,10,34,42,49,39,47,32,13,14,73,187,17,188,608,266,272,187,832,33,28,14,12,31,42,12,14,17,186,55,167,11,44,44,15,11,13,17,185,785,285,14,34,11,13,17,24,37,16,11,21,27,26,26
P31389,13,38,47,13,46,38,48,47,45,38,13,13,56,35,13,32,35,29,33,35,33,992,557,10,12,576,37,12,10,30,35,51,28,9,47,47,13,13,12,33,35,34,33,13,41,9,13,33,28,46,19,13,34,42,43,39
P31390,12,36,48,11,46,39,49,42,35,32,13,13,46,37,13,34,32,30,34,37,28,557,988,10,11,681,43,11,10,24,34,43,32,11,47,47,15,14,11,26,37,28,35,13,40,9,15,28,26,42,15,14,28,35,37,34
P32298,12,11,12,12,12,16,12,11,15,13,14,17,12,11,14,11,14,10,11,11,14,10,10,1174,609,10,17,601,579,15,11,12,11,13,12,12,12,14,12,14,11,14,11,17,11,11,12,14,10,11,12,17,10,13,13,13
P34947,11,11,9,11,12,12,10,10,14,12,11,13,11,11,14,11,12,11,11,11,12,12,11,609,1198,14,13,1147,687,12,11,10,11,11,10,10,12,13,13,11,11,13,11,13,12,11,13,11,11,11,10,13,11,12,12,12
P35367,14,39,49,11,47,39,50,42,39,45,12,13,58,42,13,39,33,31,34,41,31,576,681,10,14,990,42,11,10,22,39,58,33,11,48,48,14,13,11,25,42,31,38,13,41,12,12,25,23,42,14,13,27,38,40,37
P35462,13,46,295,12,60,638,295,67,146,66,14,13,55,35,15,37,50,49,55,35,42,37,43,17,13,42,812,14,17,18,37,58,39,10,294,296,13,13,11,17,35,42,54,13,64,10,13,17,55,67,14,13,36,36,40,39
P43249,11,11,11,11,12,12,11,11,14,12,13,13,11,11,14,11,12,11,11,11,12,12,11,601,1147,11,14,1198,683,12,11,10,11,15,11,11,14,13,13,11,11,13,11,13,12,15,13,11,11,11,13,13,11,12,12,12
P43250,10,11,15,12,12,17,15,12,18,10,12,14,12,11,14,11,14,11,11,11,14,10,10,579,687,10,17,683,1170,17,11,12,10,14,15,15,12,14,11,17,11,14,11,14,12,13,12,17,11,12,13,14,11,13,13,13
P46093,13,17,27,16,19,17,28,22,25,21,15,16,25,21,18,19,16,25,18,19,17,30,24,15,12,22,18,12,17,736,19,22,22,9,25,25,13,15,11,639,19,18,18,16,19,9,15,632,19,22,17,15,18,19,17,18
P47745,13,173,42,13,37,28,45,39,33,38,13,12,49,608,13,578,193,167,171,617,186,35,34,11,11,39,37,11,11,19,662,51,481,10,39,39,12,12,13,19,608,189,171,12,37,10,14,19,21,39,14,12,23,21,20,22
P47747,13,39,69,13,64,54,68,88,59,71,12,14,578,52,12,54,50,73,76,56,55,51,43,12,10,58,58,10,12,22,51,728,48,9,68,68,9,16,13,19,51,55,72,14,67,10,12,19,35,85,18,16,28,18,18,19
P49892,11,193,39,13,32,30,42,39,32,32,12,11,47,480,15,472,174,168,158,489,167,28,32,11,11,33,39,11,10,22,481,48,658,12,36,36,11,11,13,26,478,167,158,11,34,10,13,26,20,36,14,11,27,17,19,19
P55263,13,10,10,13,11,10,10,11,10,10,12,11,14,10,10,11,12,9,11,10,11,9,11,13,11,11,10,15,14,9,10,9,12,736,10,10,15,10,15,9,10,11,10,11,11,610,13,9,11,11,11,10,14,13,13,13
P61168,12,54,834,11,64,298,853,71,117,84,16,12,69,42,11,45,49,46,51,43,44,47,47,12,10,48,294,11,15,25,39,68,36,10,902,899,13,13,13,24,42,44,53,12,69,11,11,24,29,67,13,13,26,28,35,33
P61169,12,54,837,11,64,300,856,71,117,84,16,12,69,42,11,45,49,46,51,43,44,47,47,12,10,48,296,11,15,25,39,68,36,10,899,902,13,13,11,24,42,44,53,12,69,11,11,24,29,67,13,13,26,28,35,33
P9WID5,13,11,13,12,14,13,13,16,17,12,13,15,10,12,15,13,13,12,12,12,15,13,15,12,12,14,13,14,12,13,12,9,11,15,13,13,658,12,13,13,12,13,12,15,20,15,13,13,13,16,13,12,12,15,17,17
Q01959,14,14,12,13,13,13,14,14,13,13,20,1111,16,12,971,12,16,15,18,12,11,13,14,14,13,13,13,13,14,15,12,16,11,10,13,13,12,1260,11,15,12,11,18,1112,13,10,16,15,12,13,13,1239,13,14,13,15
Q05754,810,13,11,809,11,13,11,11,11,12,14,11,11,12,13,15,13,12,12,13,13,12,11,12,13,11,11,13,11,11,13,13,13,15,13,11,13,11,1260,11,12,13,12,11,11,17,11,11,12,11,12,11,12,12,12,12
Q4KLH9,13,14,26,16,19,16,27,24,25,21,13,15,25,24,19,21,15,25,19,22,17,33,26,14,11,25,17,11,17,639,19,19,26,9,24,24,13,15,11,742,19,17,21,15,20,9,13,733,15,24,17,15,18,21,21,19
Q60612,13,176,45,13,34,30,48,36,36,44,13,12,48,644,13,581,190,171,175,611,185,35,37,11,11,42,35,11,11,19,608,51,478,10,42,42,12,12,12,19,662,188,176,12,34,10,14,19,21,36,11,12,29,21,20,22
Q60613,14,126,46,11,34,42,49,37,47,32,11,12,65,190,17,188,612,268,272,189,785,34,28,14,13,31,42,13,14,18,189,55,167,11,44,44,13,11,13,17,188,832,285,12,34,11,11,17,21,37,16,11,21,26,25,25
Q60614,13,129,55,13,30,54,53,38,51,38,14,19,82,176,16,179,287,553,632,179,285,33,35,11,11,38,54,11,11,18,171,72,158,10,53,53,12,18,12,21,176,285,674,19,34,11,14,21,24,40,21,18,24,47,45,45
Q61327,13,14,12,13,12,13,12,13,14,12,20,1244,14,12,941,12,19,16,19,12,14,13,13,17,13,13,13,13,14,16,12,14,11,11,12,12,15,1112,11,15,12,12,19,1258,12,11,15,15,12,13,18,1112,13,14,14,14
Q61616,13,26,67,11,876,71,68,783,45,366,12,12,60,34,13,34,30,35,35,40,34,41,40,11,12,41,64,12,12,19,37,67,34,11,69,69,20,13,11,20,34,34,34,12,906,11,13,20,26,794,13,13,23,31,32,32
Q64640,13,10,11,13,11,10,11,11,10,10,13,11,10,10,10,11,11,11,11,11,11,9,9,11,11,12,10,15,13,9,10,10,10,610,11,11,15,10,17,9,10,11,11,11,11,734,12,9,11,11,11,10,15,16,17,17
Q64737,13,12,12,14,13,12,12,12,13,12,1634,16,15,14,14,14,11,14,14,14,13,13,15,12,13,12,13,13,12,15,14,12,13,13,11,11,13,16,11,13,14,11,14,15,13,12,2052,11,11,11,13,16,13,13,14,17
Q8BUD0,13,14,26,16,19,16,25,24,25,21,11,15,22,24,19,21,15,25,19,22,17,33,28,14,11,25,17,11,17,632,19,19,26,9,24,24,13,15,11,733,19,17,21,15,20,9,11,742,14,24,17,15,18,21,21,19
Q91ZY2,11,30,30,12,20,40,29,27,16,21,11,12,34,21,12,19,18,30,24,21,24,28,26,10,11,23,55,11,11,19,21,35,20,11,29,29,13,12,12,15,21,21,24,12,26,11,11,14,794,27,14,12,429,139,144,134
