,P0DMS8,P14416,P18901,P19020,P20288,P21728,P21917,P21918,P23977,P25021,P25099,P29274,P29275,P30542,P30543,P31390,P35367,P35462,P46093,P47745,P47747,P61168,P61169,Q01959,Q4KLH9,Q60613,Q8BUD0,Q95136,Q9H3N8,Q9QYN8,Q9Y5N1
P0DMS8,1.0,0.07082005278281703,0.031371182113347496,0.05620670128641426,0.07205152242152195,0.033985447289459784,0.055329676992311956,0.03920195774162358,0.015530000014214704,0.06853555109346704,0.2737207852706288,0.17281614902465112,0.18034360803976288,0.2676041196779891,0.17323107434945595,0.045061720498846804,0.04876752898103251,0.06351313618117528,0.024654361249160747,0.2645457868816692,0.0568699253754301,0.07074149474113063,0.07074149474113063,0.01551766972246191,0.020221334999407068,0.17186705014197992,0.020221334999407068,0.033985447289459784,0.05452375494813987,0.030097287843375536,0.03402302104033756
P14416,0.07082005278281703,1.0,0.0686604010657932,0.3233683405034131,0.941177050272998,0.07862723347856962,0.13148224860925678,0.08570991287109668,0.011277677488692019,0.08277284036048964,0.058299155575235385,0.05879572942861634,0.05906179320913648,0.05959469236579617,0.053158768804917794,0.05090278103806222,0.051910740970037804,0.3450823497856016,0.03317444013485185,0.05441254520355302,0.08524367141602664,0.9256387499147174,0.9289683857057776,0.01126872339638022,0.031816334255955266,0.053158768804917794,0.031816334255955266,0.07419753018400232,0.03434900430173724,0.03769410596347189,0.038802756138868126
P18901,0.031371182113347496,0.0686604010657932,1.0000000000000002,0.07284768211920531,0.06969043604266514,0.8476821192052981,0.05583705680002608,0.3908222744976998,0.01405034019189184,0.07018512329483932,0.04390215345875903,0.03447101069423332,0.04095019095050576,0.051649592304422384,0.03916094425703668,0.048620034261934425,0.04962678738072749,0.0699534498085462,0.023267546737123345,0.04777587288159071,0.0788043489626266,0.07079663344016776,0.07079663344016776,0.012167293406412571,0.023173282149391145,0.03916094425703668,0.023173282149391145,0.8730684326710818,0.023610397891113917,0.03535913760822222,0.03535913760822222
P19020,0.05620670128641426,0.3233683405034131,0.07284768211920531,1.0000000000000002,0.32522203486577067,0.08609271523178809,0.14016240788577977,0.0800865316593647,0.012176961499639595,0.0664911694372162,0.03873719422831679,0.05745168449038887,0.06270497989296195,0.03873719422831679,0.048375284082221776,0.04122133339598788,0.041179674635071745,0.7438383496308746,0.020818331291110364,0.03615471461309567,0.0664911694372162,0.32964682445578114,0.3318592192507864,0.012167293406412571,0.019514342862645175,0.048375284082221776,0.019514342862645175,0.08719646799116999,0.041318196309449357,0.038674056758993054,0.03756908370873611
P20288,0.07205152242152195,0.941177050272998,0.06969043604266514,0.32522203486577067,0.9999999999999999,0.07743381782518349,0.12219995502222764,0.08989557996643849,0.011265167581914636,0.08268102353759793,0.06211678559740374,0.06218524537422626,0.06156133373843473,0.06341088529734966,0.056562832316450325,0.051905614742703915,0.05291138604314986,0.34469956281278147,0.03436496100220852,0.058234486497566004,0.08391506866502477,0.9456762749445675,0.9490022172949001,0.013132260659050503,0.03300338933690716,0.056562832316450325,0.030558693830469597,0.07411522563267563,0.03431090223310285,0.04097455447178473,0.0387597136895261
P21728,0.033985447289459784,0.07862723347856962,0.8476821192052981,0.08609271523178809,0.07743381782518349,1.0000000000000002,0.05469752502859698,0.38548317238707547,0.012176961499639595,0.08496093872533181,0.046484633073980146,0.03906714545346443,0.0499080452209289,0.05423207191964351,0.04491990664777737,0.044392205195679255,0.044347341914692646,0.07811468561954325,0.026941369906142824,0.05035835249681182,0.10835597982361157,0.07854001522268611,0.07854001522268611,0.013103239053059691,0.029271514293967762,0.04261632169148109,0.029271514293967762,0.9172185430463577,0.027151957574781005,0.03535913760822222,0.03535913760822222
P21917,0.055329676992311956,0.13148224860925678,0.05583705680002608,0.14016240788577977,0.12219995502222764,0.05469752502859698,1.0,0.07386312217015595,0.013538740131029424,0.07627392542713822,0.047991468941548196,0.0557551843815512,0.07002231397582907,0.047991468941548196,0.055889050563153055,0.03819267780932887,0.04251454611090236,0.1757378780928594,0.031607608589010856,0.043992179863085845,0.07500269333668591,0.13362051156636107,0.13362051156636107,0.012561705772469714,0.03147955563067768,0.055889050563153055,0.03147955563067768,0.05469752502859698,0.02193817272381392,0.059321164187515804,0.06502512228246925
P21918,0.03920195774162358,0.08570991287109668,0.3908222744976998,0.0800865316593647,0.08989557996643849,0.38548317238707547,0.07386312217015595,1.0000000000000002,0.010874348493121364,0.07981259552314605,0.054964970992931274,0.037795326348894605,0.04333117016954435,0.05371576710672829,0.035657479116033466,0.03272154695751618,0.045968172440675595,0.07444375004781978,0.024879560768173693,0.047469747675713374,0.08457752659915478,0.08989557996643849,0.08989557996643849,0.01177119084950539,0.024778765374260152,0.035657479116033466,0.024778765374260152,0.39616137660832407,0.020557591675756614,0.04489804144558079,0.042760039471981696
P23977,0.015530000014214704,0.011277677488692019,0.01405034019189184,0.012176961499639595,0.011265167581914636,0.012176961499639595,0.013538740131029424,0.010874348493121364,1.0,0.014629248781030174,0.013149581488811717,0.018527215014644608,0.017375996236081607,0.013149581488811717,0.01368440919112381,0.011660698315190706,0.011648913877298774,0.01286248902279313,0.01662802829816799,0.013149581488811717,0.014629248781030174,0.011265167581914636,0.011265167581914636,0.882446664380812,0.015525621199518207,0.011729493592391836,0.015525621199518207,0.012176961499639595,0.01302388164684035,0.013128149082195574,0.013128149082195574
P25021,0.06853555109346704,0.08277284036048964,0.07018512329483932,0.0664911694372162,0.08268102353759793,0.08496093872533181,0.07627392542713822,0.07981259552314605,0.014629248781030174,1.0,0.07202368205343741,0.09485558162808563,0.12420057735533138,0.0777855766177124,0.09379841663272587,0.05423924926213159,0.06831950429822121,0.07153506650019222,0.03415351538968548,0.07058320841236866,0.7939560439560439,0.0851491137924516,0.0851491137924516,0.016705867034419602,0.034015148114261574,0.08351913809763263,0.029933330340550186,0.08988621053549596,0.035557849194807034,0.03328234048961102,0.03451501976700402
P25099,0.2737207852706288,0.058299155575235385,0.04390215345875903,0.03873719422831679,0.06211678559740374,0.046484633073980146,0.047991468941548196,0.054964970992931274,0.013149581488811717,0.07202368205343741,1.0,0.25540033790293587,0.25749541712457147,0.9244712990936556,0.2519712257493383,0.045750332743814515,0.051880326237222496,0.0477376498898068,0.030085095390669836,0.918429003021148,0.07490462933557492,0.05435218739772827,0.05435218739772827,0.013139141168397307,0.034243669303783884,0.2560135448790068,0.034243669303783884,0.046484633073980146,0.04005035891282817,0.025853347621574773,0.02843868238373225
P29274,0.17281614902465112,0.05879572942861634,0.03447101069423332,0.05745168449038887,0.06218524537422626,0.03906714545346443,0.0557551843815512,0.037795326348894605,0.018527215014644608,0.09485558162808563,0.25540033790293587,0.9999999999999999,0.3663528773404034,0.2621213994266973,0.7290188827928474,0.035210189895035396,0.03627381250550058,0.060686047263964225,0.020397546730609988,0.25943297481719274,0.06409160920816596,0.05642735228402013,0.05642735228402013,0.015589477925164472,0.01904522762772859,0.7338150596533267,0.01904522762772859,0.04021617914327221,0.023350053041549156,0.029907905105880137,0.026456992978278585
P29275,0.18034360803976288,0.05906179320913648,0.04095019095050576,0.06270497989296195,0.06156133373843473,0.0499080452209289,0.07002231397582907,0.04333117016954435,0.017375996236081607,0.12420057735533138,0.25749541712457147,0.3663528773404034,0.9999999999999998,0.26198661626046515,0.3552139599110392,0.03676315998228241,0.037950206926930456,0.066235087921692,0.03549532469336047,0.2500100852314153,0.10421427755102519,0.058996278165999956,0.058996278165999956,0.01627706276823831,0.03535152130117466,0.35788474156450567,0.03535152130117466,0.04734865828652229,0.03969222630669673,0.04996322273387897,0.04996322273387897
P30542,0.2676041196779891,0.05959469236579617,0.051649592304422384,0.03873719422831679,0.06341088529734966,0.05423207191964351,0.047991468941548196,0.05371576710672829,0.013149581488811717,0.0777855766177124,0.9244712990936556,0.2621213994266973,0.26198661626046515,1.0,0.2519712257493383,0.045750332743814515,0.05064508037443148,0.0477376498898068,0.02721984821060604,0.93202416918429,0.0806665238998499,0.055646287097674184,0.055646287097674184,0.013139141168397307,0.03139003019513523,0.25466610516911725,0.03139003019513523,0.05423207191964351,0.03728826519470209,0.025853347621574773,0.02843868238373225
P30543,0.17323107434945595,0.053158768804917794,0.03916094425703668,0.048375284082221776,0.056562832316450325,0.04491990664777737,0.055889050563153055,0.035657479116033466,0.01368440919112381,0.09379841663272587,0.2519712257493383,0.7290188827928474,0.3552139599110392,0.2519712257493383,1.0000000000000002,0.03088288725180639,0.03415721342872145,0.05109867190599996,0.02172442803415941,0.25062378603944874,0.07067003992876607,0.05079111473313907,0.05079111473313907,0.01074349904234052,0.021636415134669212,0.9435096153846155,0.021636415134669212,0.04261632169148109,0.025869917324522367,0.029979712904574456,0.029979712904574456
P31390,0.045061720498846804,0.05090278103806222,0.048620034261934425,0.04122133339598788,0.051905614742703915,0.044392205195679255,0.03819267780932887,0.03272154695751618,0.011660698315190706,0.05423924926213159,0.045750332743814515,0.035210189895035396,0.03676315998228241,0.045750332743814515,0.03088288725180639,0.9999999999999999,0.6885746694809974,0.04800781814765901,0.02814452103741112,0.042040846305126854,0.050701906918949095,0.04978701822259355,0.04978701822259355,0.012547704741784432,0.030366373051212925,0.03088288725180639,0.03270224790130623,0.044392205195679255,0.03165315236360564,0.03915065538116506,0.03597627791782735
P35367,0.04876752898103251,0.051910740970037804,0.04962678738072749,0.041179674635071745,0.05291138604314986,0.044347341914692646,0.04251454611090236,0.045968172440675595,0.011648913877298774,0.06831950429822121,0.051880326237222496,0.03627381250550058,0.037950206926930456,0.05064508037443148,0.03415721342872145,0.6885746694809974,0.9999999999999999,0.04684396830725552,0.025773071367795275,0.04817458864884946,0.06831950429822121,0.050794930601423864,0.050794930601423864,0.01163966503592216,0.029168927346140714,0.03415721342872145,0.029168927346140714,0.044347341914692646,0.03049183605681531,0.04228225867203486,0.039111089271632246
P35462,0.06351313618117528,0.3450823497856016,0.0699534498085462,0.7438383496308746,0.34469956281278147,0.07811468561954325,0.1757378780928594,0.07444375004781978,0.01286248902279313,0.07153506650019222,0.0477376498898068,0.060686047263964225,0.066235087921692,0.0477376498898068,0.05109867190599996,0.04800781814765901,0.04684396830725552,1.0000000000000002,0.023283892382148706,0.05046551559779576,0.0754369792183845,0.3435310897185008,0.34586803590706205,0.012852276644031185,0.021901252596495484,0.05109867190599996,0.021901252596495484,0.07811468561954325,0.04489127034465819,0.04668719279381099,0.04552001297396571
P46093,0.024654361249160747,0.03317444013485185,0.023267546737123345,0.020818331291110364,0.03436496100220852,0.026941369906142824,0.031607608589010856,0.024879560768173693,0.01662802829816799,0.03415351538968548,0.030085095390669836,0.020397546730609988,0.03549532469336047,0.02721984821060604,0.02172442803415941,0.02814452103741112,0.025773071367795275,0.023283892382148706,1.0,0.02721984821060604,0.030055093542923225,0.030683000894829036,0.030683000894829036,0.015576399571225837,0.8646891277154808,0.02300233556558055,0.8552167898531828,0.026941369906142824,0.02357604800482243,0.02084134769536601,0.022067309324505187
P47745,0.2645457868816692,0.05441254520355302,0.04777587288159071,0.03615471461309567,0.058234486497566004,0.05035835249681182,0.043992179863085845,0.047469747675713374,0.013149581488811717,0.07058320841236866,0.918429003021148,0.25943297481719274,0.2500100852314153,0.93202416918429,0.25062378603944874,0.042040846305126854,0.04817458864884946,0.05046551559779576,0.02721984821060604,1.0,0.07346415569450616,0.05046988829789054,0.05046988829789054,0.013139141168397307,0.02710957153216224,0.25466610516911725,0.02710957153216224,0.05035835249681182,0.03176407775844993,0.025853347621574773,0.02843868238373225
P47747,0.0568699253754301,0.08524367141602664,0.0788043489626266,0.0664911694372162,0.08391506866502477,0.10835597982361157,0.07500269333668591,0.08457752659915478,0.014629248781030174,0.7939560439560439,0.07490462933557492,0.06409160920816596,0.10421427755102519,0.0806665238998499,0.07067003992876607,0.050701906918949095,0.06831950429822121,0.0754369792183845,0.030055093542923225,0.07346415569450616,1.0,0.08391506866502477,0.08391506866502477,0.016705867034419602,0.025851512566838798,0.07067003992876607,0.025851512566838798,0.10466202596598845,0.036874806572392484,0.02218822699307401,0.02342090627046701
P61168,0.07074149474113063,0.9256387499147174,0.07079663344016776,0.32964682445578114,0.9456762749445675,0.07854001522268611,0.13362051156636107,0.08989557996643849,0.011265167581914636,0.0851491137924516,0.05435218739772827,0.05642735228402013,0.058996278165999956,0.055646287097674184,0.05079111473313907,0.04978701822259355,0.050794930601423864,0.3435310897185008,0.030683000894829036,0.05046988829789054,0.08391506866502477,0.9999999999999999,0.9966740576496673,0.012194242040546895,0.029336346077250813,0.05079111473313907,0.029336346077250813,0.07411522563267563,0.03076149855381635,0.0387597136895261,0.03654487290726746
P61169,0.07074149474113063,0.9289683857057776,0.07079663344016776,0.3318592192507864,0.9490022172949001,0.07854001522268611,0.13362051156636107,0.08989557996643849,0.011265167581914636,0.0851491137924516,0.05435218739772827,0.05642735228402013,0.058996278165999956,0.055646287097674184,0.05079111473313907,0.04978701822259355,0.050794930601423864,0.34586803590706205,0.030683000894829036,0.05046988829789054,0.08391506866502477,0.9966740576496673,0.9999999999999999,0.012194242040546895,0.029336346077250813,0.05079111473313907,0.029336346077250813,0.07411522563267563,0.03076149855381635,0.0387597136895261,0.03654487290726746
Q01959,0.01551766972246191,0.01126872339638022,0.012167293406412571,0.012167293406412571,0.013132260659050503,0.013103239053059691,0.012561705772469714,0.01177119084950539,0.882446664380812,0.016705867034419602,0.013139141168397307,0.015589477925164472,0.01627706276823831,0.013139141168397307,0.01074349904234052,0.012547704741784432,0.01163966503592216,0.012852276644031185,0.015576399571225837,0.013139141168397307,0.016705867034419602,0.012194242040546895,0.012194242040546895,0.9999999999999998,0.015513294384395334,0.01074349904234052,0.015513294384395334,0.012167293406412571,0.01301354112782474,0.012180745365641342,0.014054706191124625
